City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,38.82,87,40,1.14,AR,2021-07-24 16:51:56
1,Esperance,-33.8667,121.9,51.64,80,12,18.39,AU,2021-07-24 16:55:23
2,Albany,42.6001,-73.9662,81.81,53,7,1.01,US,2021-07-24 16:53:05
3,Port Elizabeth,-33.918,25.5701,59.29,72,0,11.5,ZA,2021-07-24 16:51:40
4,Avarua,-21.2078,-159.775,66.25,94,74,3.44,CK,2021-07-24 16:55:16
5,Tasiilaq,65.6145,-37.6368,37.9,98,100,1.88,GL,2021-07-24 16:55:51
6,Chuy,-33.6971,-53.4616,64.9,73,53,5.53,UY,2021-07-24 16:55:25
7,Pringsewu,-5.3582,104.9744,73.17,97,4,1.79,ID,2021-07-24 16:58:39
8,Punta Arenas,-53.15,-70.9167,41.02,81,75,17.27,CL,2021-07-24 16:53:05
9,Sri Aman,1.2376,111.4621,78.85,89,70,2.3,MY,2021-07-24 16:58:39
10,Kavaratti,10.5669,72.642,81.68,83,15,19.08,IN,2021-07-24 16:58:40
11,Hermanus,-34.4187,19.2345,54.81,60,64,0.4,ZA,2021-07-24 16:54:11
12,Sao Filipe,14.8961,-24.4956,74.52,73,83,7.74,CV,2021-07-24 16:55:32
13,Luwuk,-0.9516,122.7875,75.24,72,100,5.66,ID,2021-07-24 16:58:40
14,Boyolangu,-8.1181,111.8935,72.59,89,56,2.21,ID,2021-07-24 16:58:41
15,Port Alfred,-33.5906,26.891,58.39,71,0,22.12,ZA,2021-07-24 16:54:11
16,Salinopolis,-0.6136,-47.3561,84.42,65,95,11.88,BR,2021-07-24 16:58:41
17,Bredasdorp,-34.5322,20.0403,54.72,76,59,6.91,ZA,2021-07-24 16:54:57
18,Rikitea,-23.1203,-134.9692,68.77,55,0,2.33,PF,2021-07-24 16:55:14
19,Ponta Do Sol,32.6667,-17.1,83.71,68,0,5.68,PT,2021-07-24 16:56:01
20,Yellowknife,62.456,-114.3525,50.56,62,75,3.0,CA,2021-07-24 16:51:53
21,Santa Cruz Del Sur,20.7147,-77.9956,85.62,69,83,6.91,CU,2021-07-24 16:58:42
22,Yashkino,55.8736,85.4265,68.95,89,82,3.13,RU,2021-07-24 16:58:43
23,Jalingo,8.8833,11.3667,76.48,90,97,5.41,NG,2021-07-24 16:58:43
24,Ormara,25.2088,64.6357,82.63,84,95,11.52,PK,2021-07-24 16:58:44
25,Kavieng,-2.5744,150.7967,82.18,78,4,11.16,PG,2021-07-24 16:55:40
26,Kahului,20.8947,-156.47,77.85,92,45,11.99,US,2021-07-24 16:55:03
27,Mataura,-46.1927,168.8643,38.48,92,94,4.05,NZ,2021-07-24 16:55:11
28,Abu Dhabi,24.4667,54.3667,98.71,59,30,8.05,AE,2021-07-24 16:56:35
29,Busselton,-33.65,115.3333,56.08,75,97,15.7,AU,2021-07-24 16:51:21
30,Saint-Philippe,-21.3585,55.7679,71.15,80,67,6.26,RE,2021-07-24 16:51:35
31,Hobart,-42.8794,147.3294,46.26,78,99,5.01,AU,2021-07-24 16:55:07
32,Elbistan,38.2059,37.1983,76.77,33,1,13.58,TR,2021-07-24 16:58:46
33,Kungsbacka,57.4872,12.0761,80.51,62,53,2.71,SE,2021-07-24 16:58:46
34,Benguela,-12.5763,13.4055,71.46,78,10,6.22,AO,2021-07-24 16:58:47
35,Ericeira,38.9627,-9.4156,78.48,76,1,15.14,PT,2021-07-24 16:58:47
36,Kapaa,22.0752,-159.319,76.12,83,37,5.01,US,2021-07-24 16:55:08
37,Bluff,-46.6,168.3333,38.8,76,90,11.77,NZ,2021-07-24 16:55:21
38,Mar Del Plata,-38.0023,-57.5575,51.82,61,0,14.0,AR,2021-07-24 16:55:42
39,Norman Wells,65.282,-126.8329,57.24,62,75,12.66,CA,2021-07-24 16:58:48
40,Barrow,71.2906,-156.7887,39.22,100,90,0.0,US,2021-07-24 16:58:48
41,Comodoro Rivadavia,-45.8667,-67.5,51.66,43,0,4.61,AR,2021-07-24 16:58:48
42,Atuona,-9.8,-139.0333,77.85,70,99,16.28,PF,2021-07-24 16:52:39
43,New Norfolk,-42.7826,147.0587,45.91,83,100,1.01,AU,2021-07-24 16:55:17
44,Uvalde,29.3669,-99.767,88.18,65,75,11.5,US,2021-07-24 16:58:49
45,Llanes,43.4198,-4.7549,71.28,77,34,9.44,ES,2021-07-24 16:58:49
46,Megion,61.0296,76.1136,68.02,96,100,9.53,RU,2021-07-24 16:57:22
47,Faya,18.3851,42.4509,71.71,62,84,1.52,SA,2021-07-24 16:58:50
48,Castro,-24.7911,-50.0119,71.04,39,0,7.16,BR,2021-07-24 16:55:50
49,Lorengau,-2.0226,147.2712,79.81,82,12,7.05,PG,2021-07-24 16:58:51
50,Lasa,46.6166,10.7002,75.61,85,95,6.89,IT,2021-07-24 16:58:51
51,Upernavik,72.7868,-56.1549,39.11,90,99,6.85,GL,2021-07-24 16:54:58
52,Lere,10.387,8.5726,71.69,92,79,5.99,NG,2021-07-24 16:58:51
53,Nuuk,64.1835,-51.7216,40.87,80,89,8.99,GL,2021-07-24 16:51:01
54,Hobyo,5.3505,48.5268,78.49,72,85,29.17,SO,2021-07-24 16:58:52
55,Vardo,70.3705,31.1107,46.18,82,97,27.78,NO,2021-07-24 16:55:49
56,Carutapera,-1.195,-46.02,83.52,68,89,10.78,BR,2021-07-24 16:58:52
57,Booue,-0.0921,11.9385,84.92,49,83,3.18,GA,2021-07-24 16:58:53
58,Saint George,37.1041,-113.5841,91.54,44,93,1.99,US,2021-07-24 16:55:38
59,Santa Luzia,-19.7697,-43.8514,75.34,42,0,8.05,BR,2021-07-24 16:58:53
60,Biak,-0.9131,122.8766,74.68,74,100,7.65,ID,2021-07-24 16:58:54
61,Mahebourg,-20.4081,57.7,70.09,78,20,5.75,MU,2021-07-24 16:55:08
62,Vaini,-21.2,-175.2,69.96,100,40,2.3,TO,2021-07-24 16:51:34
63,Rocha,-34.4833,-54.3333,65.46,73,77,9.04,UY,2021-07-24 16:55:28
64,Hasaki,35.7333,140.8333,75.6,83,0,6.35,JP,2021-07-24 16:55:41
65,Mogocha,53.7333,119.7667,57.9,89,83,3.89,RU,2021-07-24 16:58:55
66,Omsukchan,62.5333,155.8,47.82,94,98,5.3,RU,2021-07-24 16:55:56
67,Hilo,19.7297,-155.09,74.8,94,90,5.75,US,2021-07-24 16:55:20
68,Alofi,-19.0595,-169.9187,73.29,100,71,4.61,NU,2021-07-24 16:55:51
69,Sirsilla,18.3833,78.8333,77.7,83,100,8.93,IN,2021-07-24 16:58:56
70,Hongjiang,27.11,109.9956,74.26,96,97,2.55,CN,2021-07-24 16:58:56
71,Okara,30.8081,73.4458,97.32,41,54,6.64,PK,2021-07-24 16:58:57
72,Sibolga,1.7427,98.7792,77.65,84,99,2.93,ID,2021-07-24 16:58:57
73,Phalombe,-15.8064,35.6507,57.79,73,59,7.2,MW,2021-07-24 16:56:53
74,Ahipara,-35.1667,173.1667,52.59,85,49,9.24,NZ,2021-07-24 16:50:22
75,Mackay,-21.15,149.2,64.04,77,0,6.91,AU,2021-07-24 16:58:58
76,Karratha,-20.7377,116.8463,70.92,56,11,7.11,AU,2021-07-24 16:58:58
77,Labrea,-7.2586,-64.7981,97.7,31,26,3.0,BR,2021-07-24 16:58:58
78,Saldanha,-33.0117,17.9442,62.65,64,9,7.81,ZA,2021-07-24 16:55:18
79,Muros,42.7762,-9.0603,74.68,72,33,5.66,ES,2021-07-24 16:58:59
80,Kantunilkin,21.0917,-87.45,88.95,43,60,4.14,MX,2021-07-24 16:58:59
81,Coolum Beach,-26.5333,153.1,56.34,77,0,5.97,AU,2021-07-24 16:59:00
82,Bethel,41.3712,-73.414,84.02,51,0,1.01,US,2021-07-24 16:55:21
83,Butaritari,3.0707,172.7902,83.35,73,6,16.15,KI,2021-07-24 16:54:58
84,Alvaraes,-3.2208,-64.8042,87.67,48,32,2.93,BR,2021-07-24 16:59:00
85,Torbay,47.6666,-52.7314,66.97,74,75,13.8,CA,2021-07-24 16:51:21
86,Puerto Ayora,-0.7393,-90.3518,78.76,85,34,8.01,EC,2021-07-24 16:55:06
87,Nikolskoye,59.7035,30.7861,67.89,52,27,3.51,RU,2021-07-24 16:55:42
88,Dikson,73.5069,80.5464,38.03,96,100,31.14,RU,2021-07-24 16:55:37
89,Bhanvad,21.9264,69.7736,80.98,86,83,11.07,IN,2021-07-24 16:59:01
90,Lardos,36.0942,28.0157,84.02,67,0,14.92,GR,2021-07-24 16:59:01
91,Cockburn Town,21.4612,-71.1419,84.16,70,40,16.11,TC,2021-07-24 16:56:48
92,Itarema,-2.9248,-39.9167,87.06,48,45,17.72,BR,2021-07-24 16:56:36
93,Isiro,2.7739,27.616,71.65,79,81,1.41,CD,2021-07-24 16:59:02
94,Constitucion,-35.3333,-72.4167,53.69,83,100,12.5,CL,2021-07-24 16:59:02
95,Asau,46.4333,26.4,76.12,58,65,1.68,RO,2021-07-24 16:55:10
96,Manali,13.1667,80.2667,87.89,66,96,11.86,IN,2021-07-24 16:59:03
97,Narsaq,60.9167,-46.05,44.76,96,100,6.02,GL,2021-07-24 16:51:44
98,Kodiak,57.79,-152.4072,51.01,97,100,7.43,US,2021-07-24 16:55:31
99,Bentiu,9.2333,29.8333,81.12,64,99,2.68,SS,2021-07-24 16:54:15
